episode,return
0,-21.0
1,-20.0
2,-20.0
3,-19.0
4,-21.0
5,-20.0
6,-21.0
7,-21.0
8,-20.0
9,-20.0
10,-20.0
11,-19.0
12,-21.0
13,-21.0
14,-21.0
15,-21.0
16,-20.0
17,-21.0
18,-21.0
19,-21.0
20,-19.0
21,-20.0
22,-20.0
23,-21.0
24,-21.0
25,-21.0
26,-20.0
27,-21.0
28,-20.0
29,-21.0
30,-21.0
31,-21.0
32,-21.0
33,-21.0
34,-20.0
35,-20.0
36,-19.0
37,-21.0
38,-21.0
39,-21.0
40,-21.0
41,-19.0
42,-20.0
43,-21.0
44,-21.0
45,-21.0
46,-21.0
47,-21.0
48,-21.0
49,-21.0
50,-21.0
51,-20.0
52,-20.0
53,-20.0
54,-21.0
55,-21.0
56,-21.0
57,-20.0
58,-21.0
59,-20.0
60,-20.0
61,-21.0
62,-21.0
63,-20.0
64,-19.0
65,-21.0
66,-21.0
67,-21.0
68,-21.0
69,-19.0
70,-21.0
71,-20.0
72,-20.0
73,-21.0
74,-21.0
75,-18.0
76,-20.0
77,-20.0
78,-20.0
79,-19.0
80,-21.0
81,-20.0
82,-21.0
83,-21.0
84,-19.0
85,-21.0
86,-21.0
87,-20.0
88,-19.0
89,-21.0
90,-21.0
91,-21.0
92,-20.0
93,-20.0
94,-21.0
95,-20.0
96,-20.0
97,-20.0
98,-20.0
99,-21.0
100,-18.0
101,-21.0
102,-20.0
103,-20.0
104,-20.0
105,-21.0
106,-21.0
107,-20.0
108,-19.0
109,-21.0
110,-21.0
111,-21.0
112,-20.0
113,-20.0
114,-17.0
115,-21.0
116,-21.0
117,-21.0
118,-20.0
119,-20.0
120,-20.0
121,-20.0
122,-20.0
123,-20.0
124,-19.0
125,-19.0
126,-21.0
127,-21.0
128,-19.0
129,-19.0
130,-20.0
131,-21.0
132,-21.0
133,-21.0
134,-21.0
135,-20.0
136,-20.0
137,-21.0
138,-21.0
139,-21.0
140,-20.0
141,-20.0
142,-21.0
143,-21.0
144,-19.0
145,-20.0
146,-21.0
147,-21.0
148,-20.0
149,-20.0
150,-21.0
151,-20.0
152,-20.0
153,-20.0
154,-18.0
155,-21.0
156,-21.0
157,-20.0
158,-21.0
159,-21.0
160,-21.0
161,-21.0
162,-21.0
163,-21.0
164,-20.0
165,-21.0
166,-20.0
167,-20.0
168,-20.0
169,-19.0
170,-20.0
171,-17.0
172,-20.0
173,-20.0
174,-20.0
175,-21.0
176,-20.0
177,-20.0
178,-21.0
179,-20.0
180,-19.0
181,-21.0
182,-20.0
183,-20.0
184,-18.0
185,-19.0
186,-20.0
187,-19.0
188,-20.0
189,-19.0
190,-21.0
191,-19.0
192,-19.0
193,-19.0
194,-20.0
195,-20.0
196,-19.0
197,-18.0
198,-21.0
199,-18.0
200,-20.0
201,-20.0
202,-20.0
203,-19.0
204,-18.0
205,-18.0
206,-20.0
207,-17.0
208,-20.0
209,-21.0
210,-19.0
211,-19.0
212,-18.0
213,-21.0
214,-20.0
215,-20.0
216,-16.0
217,-17.0
218,-21.0
219,-17.0
220,-20.0
221,-18.0
222,-18.0
223,-21.0
224,-19.0
225,-20.0
226,-16.0
227,-16.0
228,-17.0
229,-17.0
230,-20.0
231,-18.0
232,-20.0
233,-13.0
234,-20.0
235,-16.0
236,-17.0
237,-20.0
238,-19.0
239,-17.0
240,-18.0
241,-18.0
242,-16.0
243,-19.0
244,-20.0
245,-16.0
246,-20.0
247,-19.0
248,-15.0
249,-16.0
250,-16.0
251,-20.0
252,-20.0
253,-18.0
254,-19.0
255,-17.0
256,-15.0
257,-15.0
258,-19.0
259,-21.0
260,-16.0
261,-15.0
262,-17.0
263,-16.0
264,-17.0
265,-18.0
266,-18.0
267,-17.0
268,-18.0
269,-18.0
270,-18.0
271,-18.0
272,-12.0
273,-20.0
274,-15.0
275,-21.0
276,-16.0
277,-12.0
278,-17.0
279,-18.0
280,-18.0
281,-16.0
282,-17.0
283,-17.0
284,-17.0
285,-19.0
286,-20.0
287,-17.0
288,-15.0
289,-16.0
290,-16.0
291,-18.0
292,-15.0
293,-11.0
294,-18.0
295,-17.0
296,-17.0
297,-15.0
298,-15.0
299,-16.0
