episode,return
0,-20.0
1,-20.0
2,-21.0
3,-19.0
4,-20.0
5,-19.0
6,-20.0
7,-20.0
8,-21.0
9,-20.0
10,-21.0
11,-21.0
12,-21.0
13,-20.0
14,-21.0
15,-20.0
16,-21.0
17,-21.0
18,-21.0
19,-21.0
20,-21.0
21,-20.0
22,-20.0
23,-21.0
24,-20.0
25,-18.0
26,-20.0
27,-21.0
28,-18.0
29,-17.0
30,-20.0
31,-21.0
32,-20.0
33,-19.0
34,-19.0
35,-20.0
36,-20.0
37,-21.0
38,-20.0
39,-21.0
40,-20.0
41,-21.0
42,-19.0
43,-21.0
44,-20.0
45,-21.0
46,-21.0
47,-21.0
48,-20.0
49,-20.0
50,-21.0
51,-21.0
52,-19.0
53,-20.0
54,-17.0
55,-20.0
56,-20.0
57,-20.0
58,-21.0
59,-20.0
60,-20.0
61,-20.0
62,-21.0
63,-21.0
64,-21.0
65,-21.0
66,-20.0
67,-21.0
68,-21.0
69,-19.0
70,-21.0
71,-21.0
72,-19.0
73,-20.0
74,-20.0
75,-21.0
76,-20.0
77,-19.0
78,-21.0
79,-20.0
80,-19.0
81,-21.0
82,-19.0
83,-20.0
84,-21.0
85,-20.0
86,-21.0
87,-20.0
88,-20.0
89,-19.0
90,-20.0
91,-21.0
92,-21.0
93,-21.0
94,-21.0
95,-20.0
96,-21.0
97,-20.0
98,-19.0
99,-20.0
100,-21.0
101,-20.0
102,-21.0
103,-19.0
104,-21.0
105,-20.0
106,-20.0
107,-19.0
108,-21.0
109,-21.0
110,-21.0
111,-18.0
112,-21.0
113,-21.0
114,-21.0
115,-21.0
116,-20.0
117,-21.0
118,-20.0
119,-20.0
120,-21.0
121,-21.0
122,-21.0
123,-21.0
124,-19.0
125,-21.0
126,-20.0
127,-21.0
128,-21.0
129,-20.0
130,-21.0
131,-19.0
132,-21.0
133,-21.0
134,-20.0
135,-21.0
136,-19.0
137,-20.0
138,-21.0
139,-20.0
140,-20.0
141,-21.0
142,-20.0
143,-19.0
144,-21.0
145,-20.0
146,-21.0
147,-21.0
148,-19.0
149,-19.0
150,-20.0
151,-20.0
152,-19.0
153,-21.0
154,-19.0
155,-21.0
156,-20.0
157,-20.0
158,-20.0
159,-21.0
160,-21.0
161,-18.0
162,-21.0
163,-21.0
164,-18.0
165,-20.0
166,-19.0
167,-20.0
168,-19.0
169,-20.0
170,-20.0
171,-21.0
172,-21.0
173,-20.0
174,-20.0
175,-20.0
176,-19.0
177,-20.0
178,-20.0
179,-19.0
180,-21.0
181,-17.0
182,-19.0
183,-19.0
184,-17.0
185,-20.0
186,-18.0
187,-20.0
188,-20.0
189,-18.0
190,-21.0
191,-20.0
192,-20.0
193,-18.0
194,-19.0
195,-19.0
196,-19.0
197,-17.0
198,-20.0
199,-20.0
200,-19.0
201,-19.0
202,-18.0
203,-20.0
204,-20.0
205,-18.0
206,-20.0
207,-19.0
208,-19.0
209,-19.0
210,-18.0
211,-20.0
212,-17.0
213,-18.0
214,-19.0
215,-21.0
216,-20.0
217,-21.0
218,-18.0
219,-19.0
220,-17.0
221,-20.0
222,-15.0
223,-17.0
224,-17.0
225,-17.0
226,-16.0
227,-19.0
228,-15.0
229,-17.0
230,-17.0
231,-20.0
232,-20.0
233,-19.0
234,-20.0
235,-15.0
236,-17.0
237,-19.0
238,-19.0
239,-17.0
240,-20.0
241,-15.0
242,-17.0
243,-20.0
244,-18.0
245,-19.0
246,-17.0
247,-20.0
248,-20.0
249,-15.0
250,-16.0
251,-15.0
252,-17.0
253,-19.0
254,-16.0
255,-17.0
256,-15.0
257,-21.0
258,-16.0
259,-20.0
260,-15.0
261,-18.0
262,-18.0
263,-15.0
264,-15.0
265,-18.0
266,-16.0
267,-8.0
268,-16.0
269,-20.0
270,-21.0
271,-16.0
272,-19.0
273,-16.0
274,-16.0
275,-13.0
276,-16.0
277,-17.0
278,-15.0
279,-19.0
280,-16.0
281,-16.0
282,-15.0
283,-17.0
284,-16.0
285,-18.0
286,-20.0
287,-17.0
288,-18.0
289,-20.0
290,-15.0
291,-20.0
292,-11.0
293,-15.0
294,-12.0
295,-16.0
296,-18.0
297,-13.0
298,-17.0
299,-15.0
